COMUNA,DC,ZC_LOC,adulto_mayor,gse_vulnerable,material_precario,hacinamiento,hogares
1101,1,1,441,77,7,87,1140
1101,1,2,151,12,0,6,515
1101,2,1,132,17,4,17,306
1101,2,2,3,6,8,8,23
1101,2,3,430,284,23,122,852
1101,2,4,397,228,20,106,619
1101,2,5,559,239,6,151,1263
1101,3,1,481,182,7,82,939
1101,3,2,794,213,14,98,1116
1101,3,3,1112,182,13,106,1557
1101,3,4,237,36,7,36,1099
1101,4,1,458,81,0,36,492
1101,4,2,491,216,9,107,723
1101,4,3,489,211,8,203,1510
1101,4,4,904,429,60,287,1866
1101,4,5,695,335,25,179,1148
1101,4,6,691,153,15,74,788
1101,5,1,783,125,10,70,1136
1101,5,2,861,71,2,44,1658
1101,5,3,1002,166,10,104,1489
1101,5,4,505,45,2,23,648
1101,5,5,769,81,3,59,1838
1101,5,6,523,33,1,23,1112
1101,6,1,328,15,5,12,1117
1101,6,2,996,186,10,123,1914
1101,6,3,892,122,4,69,1752
1101,6,4,510,48,0,35,1706
1101,6,5,367,47,3,33,770
1101,7,1,483,46,9,63,1008
1101,7,2,626,117,9,113,1025
1101,7,3,755,162,13,161,1378
1101,7,4,495,61,5,81,764
1101,8,1,840,349,22,346,2033
1101,8,2,481,211,24,202,1181
1101,8,3,459,105,9,111,923
1101,8,4,428,121,13,94,1131
1101,9,4,59,37,4,12,156
1101,9,5,26,18,1,3,84
1101,9,6,108,69,3,23,316
1101,9,7,18,27,1,5,57
1101,9,10,62,29,15,19,173
1101,9,12,17,10,7,2,107
1101,9,14,5,1,0,1,5
1101,9,16,8,0,3,0,48
1101,9,17,5,3,0,0,41
1101,9,18,11,2,2,0,66
1101,9,19,5,3,0,0,7
1101,9,20,0,0,0,0,1
1101,9,21,49,34,11,8,144
1101,9,22,5,0,0,0,0
1101,9,23,52,50,14,12,162
1101,9,24,5,2,1,0,6
1101,9,901,4,2,3,0,9
1101,10,1,500,152,9,99,775
1101,10,2,820,307,11,178,1259
1101,10,3,830,232,5,136,1328
1101,10,4,764,196,6,146,1062
1101,10,5,779,338,17,319,1529
1101,10,6,686,259,13,157,1214
1101,11,1,534,317,45,199,1123
1101,11,2,493,82,4,40,706
1101,11,3,1030,179,3,105,1467
1101,11,4,868,171,4,89,1293
1101,11,5,822,31,1,33,1497
1101,11,6,229,33,6,44,1307
1101,11,7,616,298,162,171,1185
1101,11,8,923,95,2,66,1576
1101,11,9,654,143,5,95,1632
1101,11,10,72,2,1,1,154
1101,11,11,516,41,0,23,1934
1101,11,12,335,22,2,16,998
1101,11,13,282,33,0,44,1470
1101,11,14,299,21,0,14,1045
1101,11,25,5,0,0,2,9
1101,11,901,3,1,2,0,9
1101,99,999,159,25,8,39,232
1107,1,1,362,294,10,149,1261
1107,1,2,415,351,27,179,1253
1107,1,3,585,678,240,632,2705
1107,1,7,0,0,0,0,1
1107,1,9,0,0,0,0,4
1107,1,901,2,4,10,3,10
1107,2,1,814,632,67,293,1811
1107,2,2,475,375,43,211,1279
1107,2,3,576,365,3,162,2166
1107,2,4,569,341,17,157,1534
1107,2,5,578,344,27,133,1208
1107,2,6,506,229,10,110,1230
1107,2,7,490,354,6,161,1425
1107,2,8,521,356,14,161,1377
1107,3,1,333,162,13,98,1758
1107,3,2,690,712,86,311,2230
1107,3,3,345,110,18,78,1619
1107,3,5,6,7,4,1,43
1107,3,6,70,0,0,1,6
1107,4,1,511,306,67,129,1102
1107,4,2,385,292,21,243,1946
1107,4,3,411,440,91,272,1335
1107,4,4,366,261,25,233,1749
1107,4,5,333,250,30,137,1111
1107,4,6,395,291,11,169,1212
1107,4,7,462,460,111,288,1521
1107,99,999,82,58,25,47,266
1401,1,1,409,224,18,137,1211
1401,1,2,685,531,37,314,2263
1401,1,18,1,0,0,0,4
1401,1,21,13,10,1,4,43
1401,1,901,5,4,0,0,8
1401,2,5,38,0,0,1,0
1401,2,10,0,0,0,0,6
1401,2,14,20,9,2,3,101
1401,2,15,69,43,3,8,426
1401,2,17,0,0,0,0,10
1401,2,19,15,9,0,0,79
1401,2,22,0,0,0,0,1
1401,2,24,9,1,1,0,13
1401,2,29,0,0,0,0,4
1401,3,2,19,3,1,2,141
1401,3,6,0,0,0,0,1
1401,3,7,2,2,1,0,9
1401,3,11,135,57,9,18,398
1401,3,12,642,340,72,86,3867
1401,3,25,0,0,0,0,2
1401,3,26,4,5,1,0,9
1401,3,901,0,1,1,0,12
1401,5,4,0,0,0,0,2
1401,5,9,17,15,2,0,102
1401,5,16,0,0,0,0,1
1401,5,20,27,15,10,5,65
1401,5,901,17,13,1,7,53
1401,6,13,61,0,0,1,1
1401,6,23,5,0,0,0,0
1401,7,8,11,3,3,0,18
1401,7,27,0,0,0,0,1
1401,99,999,27,13,3,2,33
1402,1,1,20,9,2,6,76
1402,1,2,76,72,0,20,347
1402,1,3,38,31,0,8,142
1402,1,4,26,11,0,4,62
1402,1,5,24,27,0,13,99
1402,1,6,46,44,0,16,147
1402,1,7,11,8,1,3,70
1402,1,8,25,12,0,9,71
1402,1,9,9,10,0,5,29
1402,1,10,18,11,0,1,39
1402,99,999,0,1,0,0,6
1403,1,1,0,0,0,0,6
1403,1,3,5,4,0,1,34
1403,1,8,126,109,2,49,590
1403,1,9,31,19,0,3,113
1403,1,12,4,2,0,1,402
1403,1,13,12,10,0,7,74
1403,1,15,10,9,0,15,62
1403,2,2,19,7,0,5,22
1403,2,5,48,38,2,9,477
1403,2,6,11,6,0,3,32
1403,2,7,0,0,0,0,6
1403,2,10,0,0,0,0,6
1403,2,11,12,8,0,2,19
1403,2,14,0,0,0,0,12
1403,2,17,16,20,0,8,35
1403,2,18,18,14,0,5,51
1403,2,901,8,5,0,4,16
1403,3,16,0,0,0,0,14
1403,4,4,4,6,0,1,30
1403,99,999,27,9,0,6,24
1404,1,1,182,123,11,52,522
1404,2,8,5,4,1,0,31
1404,2,13,8,7,0,0,21
1404,2,16,15,14,1,2,86
1404,2,20,0,0,0,0,3
1404,2,22,49,33,5,12,160
1404,2,24,5,4,0,0,42
1404,2,34,61,43,11,13,510
1404,2,901,19,9,2,2,32
1404,3,6,9,7,0,2,18
1404,3,14,17,12,0,3,150
1404,3,17,5,7,0,8,70
1404,3,20,10,3,0,0,98
1404,3,28,29,26,2,11,186
1404,3,29,0,0,0,0,35
1404,3,36,0,0,0,0,26
1404,3,901,15,14,0,9,69
1404,4,1,0,0,0,0,1
1404,4,21,0,0,0,0,7
1404,4,23,57,41,11,15,147
1404,4,37,6,1,0,0,6
1404,4,901,21,15,6,8,60
1404,5,7,0,0,0,0,1
1404,5,25,7,15,17,3,33
1404,5,33,2,0,0,0,6
1404,5,35,0,0,0,0,2
1404,6,3,0,0,0,0,3
1404,6,5,5,2,1,2,6
1404,6,9,2,1,1,1,7
1404,6,18,17,16,2,0,44
1404,6,19,0,0,0,0,28
1404,6,27,0,0,0,0,19
1404,6,32,0,0,0,0,15
1404,6,901,17,10,1,0,34
1404,7,4,28,12,0,1,170
1404,7,15,12,5,1,1,102
1404,7,26,2,2,5,1,9
1404,7,31,14,5,2,1,57
1404,8,30,0,0,0,0,3
1404,8,901,10,5,1,2,26
1404,99,999,4,1,0,2,18
1405,1,1,866,348,34,166,2031
1405,1,8,164,83,9,27,406
1405,1,10,14,2,2,6,31
1405,1,14,20,8,0,5,36
1405,1,901,18,16,5,9,69
1405,2,3,155,0,0,2,0
1405,2,12,26,0,0,1,0
1405,2,901,8,4,0,1,8
1405,3,1,10,5,0,0,61
1405,3,9,2,4,0,0,29
1405,4,2,0,0,0,0,9
1405,99,999,13,5,1,2,23
2101,1,1,722,156,0,48,1334
2101,1,2,758,139,1,55,1317
2101,1,3,557,42,0,23,1948
2101,1,4,248,68,28,53,1889
2101,1,5,254,25,2,13,741
2101,1,6,25,0,0,11,325
2101,1,8,692,447,3,181,1774
2101,1,9,684,380,0,135,1780
2101,1,10,490,366,2,164,1228
2101,1,11,293,45,0,20,780
2101,1,12,345,98,3,64,1343
2101,1,13,198,49,7,20,1363
2101,1,14,559,98,2,47,2134
2101,1,15,263,22,0,12,955
2101,1,16,129,122,72,102,509
2101,1,17,266,53,0,54,1783
2101,1,18,321,47,0,17,1519
2101,1,19,153,40,11,29,568
2101,1,20,156,32,0,19,944
2101,1,21,241,6,0,10,1039
2101,1,22,226,186,1,114,761
2101,1,901,6,2,1,1,18
2101,2,1,745,222,12,83,983
2101,2,2,752,300,23,121,1294
2101,2,3,483,205,4,59,660
2101,2,4,848,344,20,111,1203
2101,2,5,470,366,77,285,1774
2101,3,1,653,126,3,60,1464
2101,3,2,581,68,1,34,844
2101,3,3,427,65,2,31,703
2101,3,4,617,151,17,70,1094
2101,3,5,568,63,0,58,1092
2101,3,6,681,141,6,69,1177
2101,4,1,927,216,11,95,1339
2101,4,2,874,263,5,104,1178
2101,4,3,477,145,4,53,649
2101,4,4,612,189,11,65,746
2101,4,5,816,367,24,154,1199
2101,5,1,715,319,10,118,1130
2101,5,2,805,383,27,135,1182
2101,5,3,778,384,54,165,1367
2101,6,1,618,61,0,71,1768
2101,6,2,581,55,1,26,1211
2101,6,3,674,114,4,85,1145
2101,7,1,904,101,9,67,1366
2101,7,2,482,194,14,66,756
2101,7,3,983,540,56,364,2123
2101,7,4,961,92,4,39,1233
2101,7,5,576,216,16,97,785
2101,8,1,647,22,0,17,1240
2101,8,2,896,168,9,105,1450
2101,8,3,639,32,1,19,1881
2101,8,4,541,31,1,19,1284
